Email,AnnualIncome,HomeOwner
YBI2344@ybifoundation.ybif,"? 80,000.00",No
YBI2345@ybifoundation.ybif,"? 80,000.00",No
YBI2346@ybifoundation.ybif,"? 80,000.00",No
YBI2347@ybifoundation.ybif,"? 90,000.00",Yes
YBI2348@ybifoundation.ybif,"? 1,30,000.00",No
YBI2349@ybifoundation.ybif,"? 70,000.00",No
YBI2350@ybifoundation.ybif,"? 80,000.00",Yes
YBI2351@ybifoundation.ybif,"? 80,000.00",Yes
YBI2352@ybifoundation.ybif,"? 80,000.00",Yes
YBI2353@ybifoundation.ybif,"? 90,000.00",Yes
YBI2354@ybifoundation.ybif,"? 90,000.00",No
YBI2355@ybifoundation.ybif,"? 90,000.00",Yes
YBI2356@ybifoundation.ybif,"? 90,000.00",Yes
YBI2357@ybifoundation.ybif,"? 1,10,000.00",No
YBI2358@ybifoundation.ybif,"? 1,10,000.00",Yes
YBI2359@ybifoundation.ybif,"? 1,20,000.00",Yes
YBI2360@ybifoundation.ybif,"? 1,20,000.00",Yes
YBI2361@ybifoundation.ybif,"? 1,20,000.00",Yes
YBI2362@ybifoundation.ybif,"? 90,000.00",Yes
YBI2363@ybifoundation.ybif,"? 1,10,000.00",Yes
YBI2364@ybifoundation.ybif,"? 1,10,000.00",Yes
YBI2365@ybifoundation.ybif,"? 1,10,000.00",Yes
YBI2366@ybifoundation.ybif,"? 1,10,000.00",No
YBI2367@ybifoundation.ybif,"? 1,20,000.00",Yes
YBI2368@ybifoundation.ybif,"? 1,30,000.00",No
YBI2369@ybifoundation.ybif,"? 1,30,000.00",No
YBI2370@ybifoundation.ybif,"? 70,000.00",Yes
YBI2371@ybifoundation.ybif,"? 70,000.00",No
YBI2372@ybifoundation.ybif,"? 70,000.00",Yes
YBI2373@ybifoundation.ybif,"? 70,000.00",Yes
YBI2374@ybifoundation.ybif,"? 70,000.00",Yes
YBI2375@ybifoundation.ybif,"? 70,000.00",Yes
YBI2376@ybifoundation.ybif,"? 70,000.00",Yes
YBI2377@ybifoundation.ybif,"? 70,000.00",Yes
YBI2378@ybifoundation.ybif,"? 60,000.00",Yes
YBI2379@ybifoundation.ybif,"? 60,000.00",Yes
YBI2380@ybifoundation.ybif,"? 60,000.00",Yes
YBI2381@ybifoundation.ybif,"? 60,000.00",Yes
YBI2382@ybifoundation.ybif,"? 60,000.00",Yes
YBI2383@ybifoundation.ybif,"? 60,000.00",Yes
YBI2384@ybifoundation.ybif,"? 60,000.00",Yes
YBI2385@ybifoundation.ybif,"? 60,000.00",Yes
YBI2386@ybifoundation.ybif,"? 60,000.00",Yes
YBI2387@ybifoundation.ybif,"? 60,000.00",Yes
YBI2388@ybifoundation.ybif,"? 70,000.00",Yes
YBI2389@ybifoundation.ybif,"? 70,000.00",Yes
YBI2390@ybifoundation.ybif,"? 70,000.00",No
YBI2391@ybifoundation.ybif,"? 70,000.00",Yes
YBI2392@ybifoundation.ybif,"? 70,000.00",Yes
YBI2393@ybifoundation.ybif,"? 60,000.00",No
YBI2394@ybifoundation.ybif,"? 60,000.00",Yes
YBI2395@ybifoundation.ybif,"? 60,000.00",Yes
YBI2396@ybifoundation.ybif,"? 60,000.00",Yes
YBI2397@ybifoundation.ybif,"? 70,000.00",Yes
YBI2398@ybifoundation.ybif,"? 70,000.00",Yes
YBI2399@ybifoundation.ybif,"? 40,000.00",Yes
YBI2400@ybifoundation.ybif,"? 60,000.00",Yes
YBI2401@ybifoundation.ybif,"? 60,000.00",Yes
YBI2402@ybifoundation.ybif,"? 60,000.00",Yes
YBI2403@ybifoundation.ybif,"? 60,000.00",Yes
YBI2404@ybifoundation.ybif,"? 60,000.00",Yes
YBI2405@ybifoundation.ybif,"? 70,000.00",No
YBI2406@ybifoundation.ybif,"? 70,000.00",Yes
YBI2407@ybifoundation.ybif,"? 40,000.00",Yes
YBI2408@ybifoundation.ybif,"? 60,000.00",Yes
YBI2409@ybifoundation.ybif,"? 40,000.00",Yes
YBI2410@ybifoundation.ybif,"? 70,000.00",Yes
YBI2411@ybifoundation.ybif,"? 70,000.00",Yes
YBI2412@ybifoundation.ybif,"? 70,000.00",Yes
YBI2413@ybifoundation.ybif,"? 60,000.00",No
YBI2414@ybifoundation.ybif,"? 60,000.00",Yes
YBI2415@ybifoundation.ybif,"? 60,000.00",Yes
YBI2416@ybifoundation.ybif,"? 60,000.00",Yes
YBI2417@ybifoundation.ybif,"? 70,000.00",Yes
YBI2418@ybifoundation.ybif,"? 70,000.00",Yes
YBI2419@ybifoundation.ybif,"? 1,30,000.00",Yes
YBI2420@ybifoundation.ybif,"? 1,30,000.00",Yes
YBI2421@ybifoundation.ybif,"? 1,30,000.00",Yes
YBI2422@ybifoundation.ybif,"? 1,50,000.00",Yes
YBI2423@ybifoundation.ybif,"? 1,30,000.00",Yes
YBI2424@ybifoundation.ybif,"? 1,30,000.00",No
YBI2425@ybifoundation.ybif,"? 1,30,000.00",Yes
YBI2426@ybifoundation.ybif,"? 1,30,000.00",Yes
YBI2427@ybifoundation.ybif,"? 1,30,000.00",No
YBI2428@ybifoundation.ybif,"? 1,30,000.00",No
YBI2429@ybifoundation.ybif,"? 1,50,000.00",Yes
YBI2430@ybifoundation.ybif,"? 1,10,000.00",Yes
YBI2431@ybifoundation.ybif,"? 1,20,000.00",Yes
YBI2432@ybifoundation.ybif,"? 1,20,000.00",Yes
YBI2433@ybifoundation.ybif,"? 70,000.00",No
YBI2434@ybifoundation.ybif,"? 30,000.00",No
YBI2435@ybifoundation.ybif,"? 40,000.00",No
YBI2436@ybifoundation.ybif,"? 50,000.00",No
YBI2437@ybifoundation.ybif,"? 50,000.00",Yes
YBI2438@ybifoundation.ybif,"? 50,000.00",Yes
YBI2439@ybifoundation.ybif,"? 90,000.00",Yes
YBI2440@ybifoundation.ybif,"? 1,10,000.00",Yes
YBI2441@ybifoundation.ybif,"? 90,000.00",Yes
YBI2442@ybifoundation.ybif,"? 1,00,000.00",Yes
YBI2443@ybifoundation.ybif,"? 1,00,000.00",Yes
YBI2444@ybifoundation.ybif,"? 1,00,000.00",Yes
YBI2445@ybifoundation.ybif,"? 1,10,000.00",Yes
YBI2446@ybifoundation.ybif,"? 1,30,000.00",Yes
YBI2447@ybifoundation.ybif,"? 90,000.00",Yes
YBI2448@ybifoundation.ybif,"? 1,10,000.00",Yes
YBI2449@ybifoundation.ybif,"? 1,20,000.00",Yes
YBI2450@ybifoundation.ybif,"? 80,000.00",No
YBI2451@ybifoundation.ybif,"? 80,000.00",No
YBI2452@ybifoundation.ybif,"? 80,000.00",Yes
YBI2453@ybifoundation.ybif,"? 90,000.00",No
YBI2454@ybifoundation.ybif,"? 1,10,000.00",Yes
YBI2455@ybifoundation.ybif,"? 1,20,000.00",Yes
YBI2456@ybifoundation.ybif,"? 70,000.00",Yes
YBI2457@ybifoundation.ybif,"? 80,000.00",Yes
YBI2458@ybifoundation.ybif,"? 80,000.00",Yes
YBI2459@ybifoundation.ybif,"? 90,000.00",Yes
YBI2460@ybifoundation.ybif,"? 1,10,000.00",Yes
YBI2461@ybifoundation.ybif,"? 80,000.00",Yes
YBI2462@ybifoundation.ybif,"? 90,000.00",Yes
YBI2463@ybifoundation.ybif,"? 1,10,000.00",Yes
YBI2464@ybifoundation.ybif,"? 1,10,000.00",Yes
YBI2465@ybifoundation.ybif,"? 1,30,000.00",No
YBI2466@ybifoundation.ybif,"? 1,30,000.00",Yes
YBI2467@ybifoundation.ybif,"? 60,000.00",No
YBI2468@ybifoundation.ybif,"? 60,000.00",Yes
YBI2469@ybifoundation.ybif,"? 60,000.00",Yes
YBI2470@ybifoundation.ybif,"? 70,000.00",Yes
YBI2471@ybifoundation.ybif,"? 70,000.00",Yes
YBI2472@ybifoundation.ybif,"? 70,000.00",Yes
YBI2473@ybifoundation.ybif,"? 70,000.00",No
YBI2474@ybifoundation.ybif,"? 1,00,000.00",Yes
YBI2475@ybifoundation.ybif,"? 60,000.00",Yes
YBI2476@ybifoundation.ybif,"? 90,000.00",Yes
YBI2477@ybifoundation.ybif,"? 1,00,000.00",Yes
YBI2478@ybifoundation.ybif,"? 1,00,000.00",Yes
YBI2479@ybifoundation.ybif,"? 1,10,000.00",Yes
YBI2480@ybifoundation.ybif,"? 1,20,000.00",No
YBI2481@ybifoundation.ybif,"? 1,20,000.00",Yes
YBI2482@ybifoundation.ybif,"? 80,000.00",Yes
YBI2483@ybifoundation.ybif,"? 80,000.00",Yes
YBI2484@ybifoundation.ybif,"? 60,000.00",Yes
YBI2485@ybifoundation.ybif,"? 60,000.00",Yes
YBI2486@ybifoundation.ybif,"? 70,000.00",Yes
YBI2487@ybifoundation.ybif,"? 70,000.00",No
YBI2488@ybifoundation.ybif,"? 70,000.00",No
YBI2489@ybifoundation.ybif,"? 70,000.00",Yes
YBI2490@ybifoundation.ybif,"? 70,000.00",No
YBI2491@ybifoundation.ybif,"? 1,30,000.00",Yes
YBI2492@ybifoundation.ybif,"? 90,000.00",No
YBI2493@ybifoundation.ybif,"? 1,30,000.00",No
YBI2494@ybifoundation.ybif,"? 1,70,000.00",Yes
YBI2495@ybifoundation.ybif,"? 80,000.00",Yes
YBI2496@ybifoundation.ybif,"? 90,000.00",Yes
YBI2497@ybifoundation.ybif,"? 1,00,000.00",Yes
YBI2498@ybifoundation.ybif,"? 1,30,000.00",Yes
YBI2499@ybifoundation.ybif,"? 90,000.00",Yes
YBI2500@ybifoundation.ybif,"? 90,000.00",No
YBI2501@ybifoundation.ybif,"? 90,000.00",Yes
YBI2502@ybifoundation.ybif,"? 90,000.00",Yes
YBI2503@ybifoundation.ybif,"? 1,00,000.00",Yes
YBI2504@ybifoundation.ybif,"? 80,000.00",Yes
YBI2505@ybifoundation.ybif,"? 90,000.00",Yes
YBI2506@ybifoundation.ybif,"? 90,000.00",Yes
YBI2507@ybifoundation.ybif,"? 90,000.00",Yes
YBI2508@ybifoundation.ybif,"? 90,000.00",Yes
YBI2509@ybifoundation.ybif,"? 90,000.00",Yes
YBI2510@ybifoundation.ybif,"? 90,000.00",Yes
YBI2511@ybifoundation.ybif,"? 1,10,000.00",Yes
YBI2512@ybifoundation.ybif,"? 1,30,000.00",Yes
YBI2513@ybifoundation.ybif,"? 1,10,000.00",Yes
YBI2514@ybifoundation.ybif,"? 1,20,000.00",Yes
YBI2515@ybifoundation.ybif,"? 1,30,000.00",Yes
YBI2516@ybifoundation.ybif,"? 1,30,000.00",Yes
YBI2517@ybifoundation.ybif,"? 1,70,000.00",No
YBI2518@ybifoundation.ybif,"? 70,000.00",Yes
YBI2519@ybifoundation.ybif,"? 70,000.00",Yes
YBI2520@ybifoundation.ybif,"? 60,000.00",Yes
YBI2521@ybifoundation.ybif,"? 70,000.00",Yes
YBI2522@ybifoundation.ybif,"? 70,000.00",Yes
YBI2523@ybifoundation.ybif,"? 60,000.00",Yes
YBI2524@ybifoundation.ybif,"? 60,000.00",Yes
YBI2525@ybifoundation.ybif,"? 60,000.00",Yes
YBI2526@ybifoundation.ybif,"? 60,000.00",Yes
YBI2527@ybifoundation.ybif,"? 60,000.00",Yes
YBI2528@ybifoundation.ybif,"? 60,000.00",Yes
YBI2529@ybifoundation.ybif,"? 60,000.00",Yes
YBI2530@ybifoundation.ybif,"? 70,000.00",Yes
YBI2531@ybifoundation.ybif,"? 70,000.00",Yes
YBI2532@ybifoundation.ybif,"? 70,000.00",Yes
YBI2533@ybifoundation.ybif,"? 70,000.00",Yes
YBI2534@ybifoundation.ybif,"? 70,000.00",Yes
YBI2535@ybifoundation.ybif,"? 70,000.00",No
YBI2536@ybifoundation.ybif,"? 80,000.00",Yes
YBI2537@ybifoundation.ybif,"? 60,000.00",Yes
YBI2538@ybifoundation.ybif,"? 60,000.00",Yes
YBI2539@ybifoundation.ybif,"? 60,000.00",Yes
YBI2540@ybifoundation.ybif,"? 60,000.00",Yes
YBI2541@ybifoundation.ybif,"? 60,000.00",No
YBI2542@ybifoundation.ybif,"? 60,000.00",Yes
YBI2543@ybifoundation.ybif,"? 60,000.00",Yes
YBI2544@ybifoundation.ybif,"? 70,000.00",Yes
YBI2545@ybifoundation.ybif,"? 60,000.00",Yes
YBI2546@ybifoundation.ybif,"? 60,000.00",No
YBI2547@ybifoundation.ybif,"? 60,000.00",Yes
YBI2548@ybifoundation.ybif,"? 70,000.00",Yes
YBI2549@ybifoundation.ybif,"? 60,000.00",Yes
YBI2550@ybifoundation.ybif,"? 60,000.00",Yes
YBI2551@ybifoundation.ybif,"? 60,000.00",Yes
YBI2552@ybifoundation.ybif,"? 60,000.00",No
YBI2553@ybifoundation.ybif,"? 60,000.00",Yes
YBI2554@ybifoundation.ybif,"? 60,000.00",Yes
YBI2555@ybifoundation.ybif,"? 70,000.00",No
YBI2556@ybifoundation.ybif,"? 70,000.00",No
YBI2557@ybifoundation.ybif,"? 40,000.00",Yes
YBI2558@ybifoundation.ybif,"? 70,000.00",Yes
YBI2559@ybifoundation.ybif,"? 70,000.00",Yes
YBI2560@ybifoundation.ybif,"? 70,000.00",Yes
YBI2561@ybifoundation.ybif,"? 70,000.00",Yes
YBI2562@ybifoundation.ybif,"? 70,000.00",Yes
YBI2563@ybifoundation.ybif,"? 60,000.00",Yes
YBI2564@ybifoundation.ybif,"? 60,000.00",No
YBI2565@ybifoundation.ybif,"? 60,000.00",No
YBI2566@ybifoundation.ybif,"? 60,000.00",Yes
YBI2567@ybifoundation.ybif,"? 60,000.00",No
YBI2568@ybifoundation.ybif,"? 70,000.00",Yes
YBI2569@ybifoundation.ybif,"? 1,30,000.00",Yes
YBI2570@ybifoundation.ybif,"? 1,10,000.00",Yes
YBI2571@ybifoundation.ybif,"? 1,30,000.00",Yes
YBI2572@ybifoundation.ybif,"? 1,50,000.00",No
YBI2573@ybifoundation.ybif,"? 1,10,000.00",Yes
YBI2574@ybifoundation.ybif,"? 1,10,000.00",Yes
YBI2575@ybifoundation.ybif,"? 1,30,000.00",No
YBI2576@ybifoundation.ybif,"? 1,30,000.00",Yes
YBI2577@ybifoundation.ybif,"? 60,000.00",Yes
YBI2578@ybifoundation.ybif,"? 80,000.00",Yes
YBI2579@ybifoundation.ybif,"? 1,00,000.00",Yes
YBI2580@ybifoundation.ybif,"? 1,10,000.00",No
YBI2581@ybifoundation.ybif,"? 1,10,000.00",Yes
YBI2582@ybifoundation.ybif,"? 90,000.00",Yes
YBI2583@ybifoundation.ybif,"? 90,000.00",Yes
YBI2584@ybifoundation.ybif,"? 1,20,000.00",Yes
YBI2585@ybifoundation.ybif,"? 1,60,000.00",No
YBI2586@ybifoundation.ybif,"? 80,000.00",Yes
YBI2587@ybifoundation.ybif,"? 90,000.00",Yes
YBI2588@ybifoundation.ybif,"? 90,000.00",Yes
YBI2589@ybifoundation.ybif,"? 1,10,000.00",Yes
YBI2590@ybifoundation.ybif,"? 1,30,000.00",Yes
YBI2591@ybifoundation.ybif,"? 1,50,000.00",Yes
YBI2592@ybifoundation.ybif,"? 1,50,000.00",Yes
YBI2593@ybifoundation.ybif,"? 70,000.00",Yes
YBI2594@ybifoundation.ybif,"? 80,000.00",Yes
YBI2595@ybifoundation.ybif,"? 90,000.00",Yes
YBI2596@ybifoundation.ybif,"? 50,000.00",Yes
YBI2597@ybifoundation.ybif,"? 70,000.00",Yes
YBI2598@ybifoundation.ybif,"? 90,000.00",Yes
YBI2599@ybifoundation.ybif,"? 90,000.00",Yes
YBI2600@ybifoundation.ybif,"? 90,000.00",No
YBI2601@ybifoundation.ybif,"? 1,10,000.00",Yes
YBI2602@ybifoundation.ybif,"? 80,000.00",Yes
YBI2603@ybifoundation.ybif,"? 90,000.00",Yes
YBI2604@ybifoundation.ybif,"? 90,000.00",No
YBI2605@ybifoundation.ybif,"? 1,00,000.00",Yes
YBI2606@ybifoundation.ybif,"? 1,10,000.00",No
YBI2607@ybifoundation.ybif,"? 1,20,000.00",No
YBI2608@ybifoundation.ybif,"? 1,20,000.00",Yes
YBI2609@ybifoundation.ybif,"? 1,30,000.00",Yes
YBI2610@ybifoundation.ybif,"? 1,30,000.00",Yes
YBI2611@ybifoundation.ybif,"? 80,000.00",Yes
YBI2612@ybifoundation.ybif,"? 90,000.00",Yes
YBI2613@ybifoundation.ybif,"? 1,10,000.00",No
YBI2614@ybifoundation.ybif,"? 1,30,000.00",Yes
YBI2615@ybifoundation.ybif,"? 1,30,000.00",Yes
YBI2616@ybifoundation.ybif,"? 1,30,000.00",Yes
YBI2617@ybifoundation.ybif,"? 1,30,000.00",Yes
YBI2618@ybifoundation.ybif,"? 80,000.00",Yes
YBI2619@ybifoundation.ybif,"? 60,000.00",No
YBI2620@ybifoundation.ybif,"? 60,000.00",No
YBI2621@ybifoundation.ybif,"? 80,000.00",No
YBI2622@ybifoundation.ybif,"? 1,30,000.00",No
YBI2623@ybifoundation.ybif,"? 50,000.00",Yes
YBI2624@ybifoundation.ybif,"? 60,000.00",Yes
YBI2625@ybifoundation.ybif,"? 70,000.00",Yes
YBI2626@ybifoundation.ybif,"? 1,00,000.00",Yes
YBI2627@ybifoundation.ybif,"? 80,000.00",Yes
YBI2628@ybifoundation.ybif,"? 90,000.00",No
YBI2629@ybifoundation.ybif,"? 1,00,000.00",Yes
YBI2630@ybifoundation.ybif,"? 1,00,000.00",Yes
YBI2631@ybifoundation.ybif,"? 1,00,000.00",Yes
YBI2632@ybifoundation.ybif,"? 1,20,000.00",Yes
YBI2633@ybifoundation.ybif,"? 80,000.00",Yes
YBI2634@ybifoundation.ybif,"? 80,000.00",No
YBI2635@ybifoundation.ybif,"? 60,000.00",No
YBI2636@ybifoundation.ybif,"? 60,000.00",Yes
YBI2637@ybifoundation.ybif,"? 60,000.00",No
YBI2638@ybifoundation.ybif,"? 70,000.00",Yes
YBI2639@ybifoundation.ybif,"? 70,000.00",Yes
YBI2640@ybifoundation.ybif,"? 70,000.00",Yes
YBI2641@ybifoundation.ybif,"? 70,000.00",Yes
YBI2642@ybifoundation.ybif,"? 70,000.00",Yes
YBI2643@ybifoundation.ybif,"? 40,000.00",No
YBI2644@ybifoundation.ybif,"? 40,000.00",No
YBI2645@ybifoundation.ybif,"? 1,10,000.00",Yes
YBI2646@ybifoundation.ybif,"? 1,30,000.00",Yes
YBI2647@ybifoundation.ybif,"? 1,30,000.00",No
YBI2648@ybifoundation.ybif,"? 1,50,000.00",Yes
YBI2649@ybifoundation.ybif,"? 1,20,000.00",Yes
YBI2650@ybifoundation.ybif,"? 90,000.00",Yes
YBI2651@ybifoundation.ybif,"? 1,20,000.00",Yes
YBI2652@ybifoundation.ybif,"? 1,20,000.00",Yes
YBI2653@ybifoundation.ybif,"? 1,30,000.00",Yes
YBI2654@ybifoundation.ybif,"? 10,000.00",Yes
YBI2655@ybifoundation.ybif,"? 20,000.00",Yes
YBI2656@ybifoundation.ybif,"? 20,000.00",Yes
YBI2657@ybifoundation.ybif,"? 30,000.00",Yes
YBI2658@ybifoundation.ybif,"? 30,000.00",Yes
YBI2659@ybifoundation.ybif,"? 10,000.00",Yes
YBI2660@ybifoundation.ybif,"? 10,000.00",Yes
YBI2661@ybifoundation.ybif,"? 10,000.00",Yes
YBI2662@ybifoundation.ybif,"? 10,000.00",Yes
YBI2663@ybifoundation.ybif,"? 10,000.00",Yes
YBI2664@ybifoundation.ybif,"? 10,000.00",Yes
YBI2665@ybifoundation.ybif,"? 10,000.00",Yes
YBI2666@ybifoundation.ybif,"? 10,000.00",Yes
YBI2667@ybifoundation.ybif,"? 20,000.00",Yes
YBI2668@ybifoundation.ybif,"? 30,000.00",Yes
YBI2669@ybifoundation.ybif,"? 10,000.00",Yes
YBI2670@ybifoundation.ybif,"? 10,000.00",Yes
YBI2671@ybifoundation.ybif,"? 10,000.00",Yes
YBI2672@ybifoundation.ybif,"? 30,000.00",Yes
YBI2673@ybifoundation.ybif,"? 10,000.00",Yes
YBI2674@ybifoundation.ybif,"? 20,000.00",Yes
YBI2675@ybifoundation.ybif,"? 30,000.00",Yes
YBI2676@ybifoundation.ybif,"? 30,000.00",Yes
YBI2677@ybifoundation.ybif,"? 10,000.00",No
YBI2678@ybifoundation.ybif,"? 10,000.00",Yes
YBI2679@ybifoundation.ybif,"? 10,000.00",Yes
YBI2680@ybifoundation.ybif,"? 10,000.00",Yes
YBI2681@ybifoundation.ybif,"? 10,000.00",Yes
YBI2682@ybifoundation.ybif,"? 10,000.00",Yes
YBI2683@ybifoundation.ybif,"? 20,000.00",No
YBI2684@ybifoundation.ybif,"? 20,000.00",Yes
YBI2685@ybifoundation.ybif,"? 20,000.00",Yes
YBI2686@ybifoundation.ybif,"? 20,000.00",Yes
YBI2687@ybifoundation.ybif,"? 20,000.00",Yes
YBI2688@ybifoundation.ybif,"? 20,000.00",No
YBI2689@ybifoundation.ybif,"? 40,000.00",Yes
YBI2690@ybifoundation.ybif,"? 30,000.00",Yes
YBI2691@ybifoundation.ybif,"? 30,000.00",Yes
YBI2692@ybifoundation.ybif,"? 30,000.00",Yes
YBI2693@ybifoundation.ybif,"? 30,000.00",Yes
YBI2694@ybifoundation.ybif,"? 20,000.00",No
YBI2695@ybifoundation.ybif,"? 10,000.00",No
YBI2696@ybifoundation.ybif,"? 10,000.00",No
YBI2697@ybifoundation.ybif,"? 20,000.00",Yes
YBI2698@ybifoundation.ybif,"? 30,000.00",Yes
YBI2699@ybifoundation.ybif,"? 40,000.00",Yes
YBI2700@ybifoundation.ybif,"? 40,000.00",Yes
YBI2701@ybifoundation.ybif,"? 30,000.00",Yes
YBI2702@ybifoundation.ybif,"? 30,000.00",Yes
YBI2703@ybifoundation.ybif,"? 20,000.00",Yes
YBI2704@ybifoundation.ybif,"? 30,000.00",Yes
YBI2705@ybifoundation.ybif,"? 30,000.00",Yes
YBI2706@ybifoundation.ybif,"? 10,000.00",Yes
YBI2707@ybifoundation.ybif,"? 30,000.00",Yes
YBI2708@ybifoundation.ybif,"? 10,000.00",Yes
YBI2709@ybifoundation.ybif,"? 20,000.00",No
YBI2710@ybifoundation.ybif,"? 30,000.00",Yes
YBI2711@ybifoundation.ybif,"? 30,000.00",Yes
YBI2712@ybifoundation.ybif,"? 30,000.00",Yes
YBI2713@ybifoundation.ybif,"? 30,000.00",Yes
YBI2714@ybifoundation.ybif,"? 40,000.00",Yes
YBI2715@ybifoundation.ybif,"? 40,000.00",Yes
YBI2716@ybifoundation.ybif,"? 40,000.00",Yes
YBI2717@ybifoundation.ybif,"? 40,000.00",Yes
YBI2718@ybifoundation.ybif,"? 50,000.00",Yes
YBI2719@ybifoundation.ybif,"? 50,000.00",Yes
YBI2720@ybifoundation.ybif,"? 50,000.00",Yes
YBI2721@ybifoundation.ybif,"? 50,000.00",Yes
YBI2722@ybifoundation.ybif,"? 50,000.00",No
YBI2723@ybifoundation.ybif,"? 10,000.00",No
YBI2724@ybifoundation.ybif,"? 10,000.00",No
YBI2725@ybifoundation.ybif,"? 10,000.00",Yes
YBI2726@ybifoundation.ybif,"? 10,000.00",No
YBI2727@ybifoundation.ybif,"? 10,000.00",No
YBI2728@ybifoundation.ybif,"? 10,000.00",Yes
YBI2729@ybifoundation.ybif,"? 10,000.00",Yes
YBI2730@ybifoundation.ybif,"? 10,000.00",No
YBI2731@ybifoundation.ybif,"? 10,000.00",Yes
YBI2732@ybifoundation.ybif,"? 20,000.00",Yes
YBI2733@ybifoundation.ybif,"? 20,000.00",No
YBI2734@ybifoundation.ybif,"? 70,000.00",Yes
YBI2735@ybifoundation.ybif,"? 1,60,000.00",No
YBI2736@ybifoundation.ybif,"? 70,000.00",Yes
YBI2737@ybifoundation.ybif,"? 70,000.00",Yes
YBI2738@ybifoundation.ybif,"? 1,10,000.00",Yes
YBI2739@ybifoundation.ybif,"? 1,10,000.00",No
YBI2740@ybifoundation.ybif,"? 1,30,000.00",Yes
YBI2741@ybifoundation.ybif,"? 1,30,000.00",Yes
YBI2742@ybifoundation.ybif,"? 90,000.00",Yes
YBI2743@ybifoundation.ybif,"? 70,000.00",Yes
YBI2744@ybifoundation.ybif,"? 80,000.00",No
YBI2745@ybifoundation.ybif,"? 80,000.00",Yes
YBI2746@ybifoundation.ybif,"? 1,00,000.00",Yes
YBI2747@ybifoundation.ybif,"? 1,30,000.00",Yes
YBI2748@ybifoundation.ybif,"? 90,000.00",Yes
YBI2749@ybifoundation.ybif,"? 1,70,000.00",No
YBI2750@ybifoundation.ybif,"? 1,70,000.00",Yes
YBI2751@ybifoundation.ybif,"? 70,000.00",Yes
YBI2752@ybifoundation.ybif,"? 1,00,000.00",Yes
YBI2753@ybifoundation.ybif,"? 1,00,000.00",Yes
YBI2754@ybifoundation.ybif,"? 70,000.00",Yes
YBI2755@ybifoundation.ybif,"? 80,000.00",No
YBI2756@ybifoundation.ybif,"? 90,000.00",Yes
YBI2757@ybifoundation.ybif,"? 1,20,000.00",Yes
YBI2758@ybifoundation.ybif,"? 1,20,000.00",Yes
YBI2759@ybifoundation.ybif,"? 1,70,000.00",No
YBI2760@ybifoundation.ybif,"? 1,00,000.00",Yes
YBI2761@ybifoundation.ybif,"? 1,10,000.00",Yes
YBI2762@ybifoundation.ybif,"? 1,20,000.00",Yes
YBI2763@ybifoundation.ybif,"? 1,30,000.00",No
YBI2764@ybifoundation.ybif,"? 80,000.00",No
YBI2765@ybifoundation.ybif,"? 1,00,000.00",Yes
YBI2766@ybifoundation.ybif,"? 1,10,000.00",Yes
YBI2767@ybifoundation.ybif,"? 1,20,000.00",Yes
YBI2768@ybifoundation.ybif,"? 1,50,000.00",Yes
YBI2769@ybifoundation.ybif,"? 80,000.00",Yes
YBI2770@ybifoundation.ybif,"? 90,000.00",Yes
YBI2771@ybifoundation.ybif,"? 1,30,000.00",No
YBI2772@ybifoundation.ybif,"? 60,000.00",Yes
YBI2773@ybifoundation.ybif,"? 60,000.00",Yes
YBI2774@ybifoundation.ybif,"? 60,000.00",No
YBI2775@ybifoundation.ybif,"? 70,000.00",Yes
YBI2776@ybifoundation.ybif,"? 70,000.00",Yes
YBI2777@ybifoundation.ybif,"? 70,000.00",No
YBI2778@ybifoundation.ybif,"? 70,000.00",Yes
YBI2779@ybifoundation.ybif,"? 70,000.00",No
YBI2780@ybifoundation.ybif,"? 60,000.00",Yes
YBI2781@ybifoundation.ybif,"? 70,000.00",Yes
YBI2782@ybifoundation.ybif,"? 80,000.00",Yes
YBI2783@ybifoundation.ybif,"? 80,000.00",Yes
YBI2784@ybifoundation.ybif,"? 90,000.00",Yes
YBI2785@ybifoundation.ybif,"? 90,000.00",No
YBI2786@ybifoundation.ybif,"? 80,000.00",Yes
YBI2787@ybifoundation.ybif,"? 1,10,000.00",Yes
YBI2788@ybifoundation.ybif,"? 90,000.00",Yes
YBI2789@ybifoundation.ybif,"? 90,000.00",No
YBI2790@ybifoundation.ybif,"? 90,000.00",Yes
YBI2791@ybifoundation.ybif,"? 90,000.00",No
YBI2792@ybifoundation.ybif,"? 90,000.00",Yes
YBI2793@ybifoundation.ybif,"? 1,00,000.00",Yes
YBI2794@ybifoundation.ybif,"? 80,000.00",Yes
YBI2795@ybifoundation.ybif,"? 90,000.00",No
YBI2796@ybifoundation.ybif,"? 1,10,000.00",Yes
YBI2797@ybifoundation.ybif,"? 1,00,000.00",Yes
YBI2798@ybifoundation.ybif,"? 1,00,000.00",No
YBI2799@ybifoundation.ybif,"? 90,000.00",No
YBI2800@ybifoundation.ybif,"? 1,00,000.00",No
YBI2801@ybifoundation.ybif,"? 1,00,000.00",Yes
YBI2802@ybifoundation.ybif,"? 1,00,000.00",Yes
YBI2803@ybifoundation.ybif,"? 1,00,000.00",Yes
YBI2804@ybifoundation.ybif,"? 1,10,000.00",Yes
YBI2805@ybifoundation.ybif,"? 1,20,000.00",Yes
YBI2806@ybifoundation.ybif,"? 1,20,000.00",Yes
